Date,AAPL,BA,DIS,IBM,KO,MSFT
2012-04-16,275.29540687140775,134.26934947538226,129.17829410050265,154.86631831397483,127.0877235814145,101.96850521811294
2012-04-17,289.32756589299737,136.87418229432225,132.34108621759933,158.4797605966991,129.73683675130206,103.14960960052184
2012-04-18,288.68220087591226,136.17217371142976,131.75194318904434,152.8877113936882,130.12280380516722,102.16535386261259
2012-04-19,278.76428502096775,135.0452559240387,130.4806258327277,152.41405944190367,129.50877139442844,101.73884742324582
2012-04-20,271.9024316563135,135.87659634295065,131.31782472595688,152.482823078937,130.0526267603824,106.36482498636757
2012-04-23,271.29500543485284,134.6018828240317,130.26356068692465,151.73415154950737,129.28070603755486,105.38057550616394
2012-04-24,265.87576400295103,135.2484715312454,130.79069862070008,152.78839520661847,130.0350925378632,104.72441127192997
2012-04-25,289.46994408526064,142.39793147992,132.40310314089754,155.51567365633477,131.45614088627332,105.64304870910415
2012-04-26,288.3784877651819,142.23165775830694,134.44961429566376,157.05119283170265,132.82455979732043,105.34777261350192
2012-04-27,286.1481579662981,142.7489287240779,134.41859991975534,157.9908381983111,134.43859167266308,104.9212599164296
2012-04-30,277.12237403090705,141.880660514149,133.67442049721413,158.1971057957523,133.89473630670915,105.05249651789971
2012-05-01,276.24448499922323,142.71198683848428,135.7829485752786,158.8999310148832,134.96491281609786,105.01968110982658
2012-05-02,278.07145215872254,142.73046482856944,135.007754776829,158.94576566835246,135.36842747738487,104.33070772522517
2012-05-03,276.097367625409,141.93608038982782,135.84496549857678,158.31933930955668,135.8596534059759,104.19947738146061
2012-05-04,268.2342291062284,140.10713992496756,133.11628001604893,156.60046986348223,135.08771929824562,101.64041997214319
2012-05-07,270.24153859683224,140.3288335222594,135.87596804596657,155.65317761674257,135.57894522683662,100.55774304083691
2012-05-08,269.62463401226967,139.29429159071748,137.3643387195676,153.91902606723517,135.33333226254112,100.06561830073505
2012-05-09,270.09918574778584,136.800298523135,139.59690064422844,153.7280405732269,134.7017522443805,100.91863743717423
2012-05-10,270.7350470585522,136.33844743304283,140.40309699006787,153.24676505497007,135.80702396861292,100.85301913643914
